Base,Date,Number of trips
B02682,2015-03-11,10722
B02682,2015-03-23,10713
B02682,2015-01-22,10601
B02682,2015-02-10,10547
B02682,2015-01-09,10433
B02682,2015-01-08,10374
B02682,2015-01-15,10323
B02682,2015-02-08,10281
B02682,2015-02-09,10228
B02682,2015-03-08,10094
B02682,2015-01-28,9972
B02682,2015-01-14,9765
B02682,2015-01-13,9631
B02682,2015-01-21,9384
B02682,2015-03-16,9306
B02682,2015-01-25,9284
B02682,2015-01-12,9092
B02682,2015-01-07,9072
B02682,2015-03-02,8991
B02682,2015-03-09,8973
B02682,2015-01-20,8507
B02682,2015-01-11,8498
B02682,2015-01-03,8008
B02682,2015-01-01,7611
B02682,2015-01-26,7563
B02682,2015-01-06,7484
B02682,2015-01-19,7050
B02682,2015-01-05,5997
B02682,2015-01-04,5556
B02682,2015-01-02,5457
B02682,2015-01-27,4454
B02764,2015-02-14,46134
B02764,2015-02-20,44987
B02764,2015-01-31,44896
B02764,2015-02-21,44562
B02764,2015-02-13,44012
B02764,2015-02-15,41469
B02764,2015-02-28,39929
B02764,2015-01-30,39477
B02764,2015-01-24,39468
B02764,2015-01-10,39362
B02764,2015-02-19,39182
B02764,2015-02-07,38961
B02764,2015-02-06,38960
B02764,2015-02-27,38844
B02764,2015-02-01,37845
B02764,2015-01-17,36966
B02764,2015-02-12,36897
B02764,2015-02-05,36172
B02764,2015-02-26,36059
B02764,2015-01-18,35631
B02764,2015-01-16,35201
B02764,2015-02-24,34956
B02764,2015-01-23,34116
B02764,2015-02-16,33913
B02764,2015-06-27,33858
B02764,2015-05-16,33852
B02764,2015-01-08,33825
B02764,2015-01-09,33796
B02764,2015-04-25,33380
B02764,2015-02-17,32677
B02764,2015-02-18,32477
B02764,2015-02-25,32085
B02764,2015-02-11,32012
B02764,2015-01-29,31912
B02764,2015-02-03,31884
B02764,2015-05-02,31779
B02764,2015-01-15,31466
B02764,2015-02-23,31342
B02764,2015-02-02,31075
B02764,2015-03-14,30881
B02764,2015-03-28,30790
B02764,2015-04-18,30543
B02764,2015-04-24,30374
B02764,2015-02-22,30368
B02764,2015-02-04,30346
B02764,2015-01-22,30311
B02764,2015-05-30,30306
B02764,2015-03-20,30295
B02764,2015-01-13,30123
B02764,2015-01-07,30079
B02764,2015-01-03,30032
